stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
1534392,,"Den Haag, Nieuwe Parklaan",52.107065999999996,4.288718,0,,,1.0,
1534394,,"Den Haag, Vredespaleis",52.087236,4.297391,0,,,,
1534422,,"Den Haag, Statenplein",52.090841999999995,4.278274,0,,,,
1534428,,"Den Haag, Lozerlaan",52.030753999999995,4.260438,0,,,1.0,
1534466,,"Den Haag, Markenseplein",52.088161,4.252527,0,,,1.0,
1534474,,"Den Haag, Statenplein",52.091393,4.278537,0,,,1.0,
1534493,,"Den Haag, Dr. Lelykade",52.093232,4.263884,0,,,,
1534505,,"Den Haag, Saturnusstraat",52.06621,4.348993,0,,,1.0,
1534519,,"Den Haag, Dr. Lelykade",52.093233000000005,4.263986,0,,,,
1534530,,"Den Haag, Reigersbergenweg",52.092121,4.35058,0,,,1.0,
1534532,,"Den Haag, Overbosch",52.091153000000006,4.347887999999999,0,,,1.0,
1534533,,"Den Haag, Overbosch",52.090653,4.347272,0,,,1.0,
1534548,,"Den Haag, Rusthoekstraat",52.102112,4.283818,0,,,1.0,
1534586,,"Den Haag, Scheveningseweg",52.099178,4.281541000000001,0,,,1.0,
1534591,,"Den Haag, De Eerensplein",52.089277,4.344123000000001,0,,,1.0,
1534592,,"Den Haag, Spaarwaterstraat",52.087879,4.340552,0,,,1.0,
1534593,,"Den Haag, De Eerensplein",52.089199,4.3443879999999995,0,,,1.0,
1534609,,"Den Haag, Maanweg",52.067093,4.352312,0,,,1.0,
1534646,,"Den Haag, Rusthoekstraat",52.101494,4.283074,0,,,1.0,
1534672,,"Den Haag, Prins Mauritsplein",52.095478,4.278027,0,,,1.0,
1534673,,"Den Haag, Prins Mauritsplein",52.095488,4.278115000000001,0,,,1.0,
1534676,,"Den Haag, Station Mariahoeve",52.090916,4.3680900000000005,0,,,1.0,
1541931,,"Den Haag, Nieboerweg",52.080159,4.259791000000001,0,,,1.0,
1541932,,"Den Haag, Kwartellaan",52.078051,4.254651,0,,,1.0,
1541933,,"Den Haag, Kwartellaan",52.078228,4.2552449999999995,0,,,1.0,
1546328,,"Den Haag, De Savornin Lohmanlaan",52.071599,4.240928,0,,,0.0,
1546331,,"Den Haag, Arabislaan",52.069814,4.2366269999999995,0,,,1.0,
1546332,,"Den Haag, de Savornin Lohmanlaan",52.071146999999996,4.2397,0,,,1.0,
1546333,,"Den Haag, Arabislaan",52.06961,4.2360050000000005,0,,,1.0,
1546355,,"Den Haag, Oude Buizerdlaan",52.074187,4.245471,0,,,1.0,
1546358,,"Den Haag, Oude Buizerdlaan",52.0746,4.2462919999999995,0,,,1.0,
1546360,,"Den Haag, Vliegenvangerlaan",52.076045,4.249815,0,,,1.0,
1546524,,"Den Haag, Statenlaan",52.096472999999996,4.270107,0,,,0.0,
1547770,,"Den Haag, Kraayensteinlaan (uitstaphalte)",52.048834,4.235780999999999,0,,,1.0,
1547791,,"Den Haag, Kijkduin",52.067184999999995,4.218901,0,,,,
1547935,,"Den Haag, Norfolk (uitstaphalte)",52.096911999999996,4.261426999999999,0,,,,
15951,,"Den Haag, Walnootstraat",52.060078000000004,4.254173000000001,0,,,1.0,
15957,,"Den Haag, Statenplein",52.091533,4.278169,0,,,1.0,
